ID,extent
ID_QQQANIS1XI,0.0
ID_YOCFQUZGA4,0.0
ID_WZMALXH37G,17.427776336669922
ID_U4F9BX3GNA,0.0
ID_LBJ6WQ438T,0.0
ID_2SY0IQNB0H,0.0
ID_CJYRDQCC2F,0.0
ID_CWVXL2DX0I,18.6938533782959
ID_ZDTT4JYF7U,0.0
ID_KA4A0DW9TS,0.0
ID_7KOBIOB9E5,0.0
ID_O6FK003KLY,0.0
ID_7Y8E7W79BI,0.0
ID_VC0GQ9CBJM,0.0
ID_COLSO7S32P,26.580881118774414
ID_AROVSKV7RT,0.0
ID_IJCQ7R3YI3,0.0
ID_1PDK9RC274,0.0
ID_TJ5R54HW8U,0.0
ID_2GYNMHCFRG,0.0
ID_LHBT3UIVV7,0.0
ID_9R79125P6Z,0.0
ID_6D8QQ43U62,0.0
ID_SL2V6WT1P8,0.0
ID_XS6V94X84P,0.0
ID_AMKYEGWIFZ,70.50341033935547
ID_4W8IUC7LDN,0.0
ID_2AYD1WIOWJ,0.0
ID_3GKWVR8KQD,0.0
ID_NMW6EUQRSM,0.0
ID_P2RSIMQARQ,0.0
ID_ET2R86PDT1,0.0
ID_PX4VJOAF73,0.0
ID_19WZMY3UEZ,0.0
ID_RMIF9L593I,24.052099227905273
ID_A7DBLXJF9A,0.0
ID_1WA0OP2AWI,0.0
ID_1DWGZACDHR,0.0
ID_ACWP0K8HZ7,0.0
ID_AO81NPYKD8,0.0
ID_R9GFISPOR5,24.972614288330078
ID_PLQECFIY90,0.0
ID_IE02UJVJ3F,0.0
ID_SGT4E6VCSI,0.0
ID_CZ73NWB21H,18.247589111328125
ID_8ISHYGO4MQ,0.0
ID_GFH6IAV8ID,0.0
ID_D29XJNLW5S,0.0
ID_TI0L7XNOPE,0.0
ID_3F762LL6QY,23.179670333862305
ID_M6TAXTI7O4,0.8942118883132935
ID_IZFZZ1MLNC,0.0
ID_BULD2CCJTV,94.79533386230469
ID_WETOK05L6X,0.0
ID_CHC4NVVAC0,0.0
ID_7MCJE6B0BD,0.0
