label,extent,growth_stage,season,damage,address,ID
0,0,S,LR2021,G,0/l1093f02789c01s07529rp15872.png,ID_I36FA2D80A
0,0,M,SR2021,WD,0/l311f00523c39s13097rp42870.png,ID_Y0W6AZQOC6
0,0,V,SR2020,WD,0/l142f01634c01s03001rp01787.png,ID_N3IQ0OJ8GY
0,0,M,SR2021,WN,0/l331f04164c39s12617dp45284.png,ID_LV6R9IJWGW
0,0,V,SR2021,WD,0/l406f04369c39s12387rp43494.png,ID_OGC9GUFXG1
0,0,V,LR2021,WD,0/l1144f04443c01s09219rp22131.png,ID_8S5RZFA9A2
1,60,M,SR2020,DR,1/l429f00489c01s02416rp13272.png,ID_XX7V309WG0
0,0,V,SR2021,G,0/l331f02030c39s13997ip.png,ID_W4XTT2IZTD
0,0,V,LR2021,G,0/l373f00891c01s07947rp16822.png,ID_8LBC6OLUR0
0,0,F,SR2021,G,0/l415f00433c39s12962rp47893.png,ID_4B1CJQVWB4
0,0,F,SR2020,G,0/l325f01649c01s00349rp09549.png,ID_8TZWJ1AJ81
1,30,M,SR2021,DR,1/l1083f00021c39s12454rp39531.png,ID_ZS5JD5DQIC
0,0,V,SR2021,G,0/l1137f00887c39s11852rp32807.png,ID_DF1C4EEM3K
1,80,M,LR2020,DR,1/190_repeat_2_1301_6185_4548.png,ID_URKZF06UDC
0,0,M,LR2021,WD,0/l1084f02363c01s07532rp31636.png,ID_98NI0UTZAI
0,0,M,SR2021,G,0/l341f02943c39s12264rp45223.png,ID_IHKS67HJXK
0,0,M,LR2021,WD,0/l134f00785c01s09798rp19917.png,ID_0Y1OG4F3B2
0,0,V,SR2020,WD,0/l1089f01275c01s00971ip.png,ID_6EQX27O6OK
0,0,V,SR2021,WD,0/l134f00792c39s14611rp37291.png,ID_XJ54O3BN1A
0,0,V,SR2021,G,0/l376f03258c39s14802rp46498.png,ID_9FIM85YAOD
0,0,V,SR2020,WD,0/l141f03044c01s03195rp03098.png,ID_OTY86OPGL2
0,0,M,LR2021,WD,0/l141f01026c01s06994rp23867.png,ID_2SPGNHDDZ6
0,0,S,SR2021,WD,0/l410f00106c39s14584rp42097.png,ID_K76PE18WGF
0,0,F,SR2020,WD,0/l133f00737c01s03192rp10963.png,ID_GOWH18VD1M
0,0,S,SR2021,G,0/l435f03585c39s14957ip.png,ID_LW2ZWGDCNO
1,10,M,SR2021,DR,1/l341f02190c39s12282rp47781.png,ID_S71XBFNOKZ
0,0,F,SR2021,G,0/l1122f00056c39s12132rp39088.png,ID_CNF6A07ZQK
1,90,F,SR2021,DR,1/l134f00884c39s14252rp48357.png,ID_YSJZATV0RS
0,0,F,SR2020,WD,0/l1089f00017c01s00579rp05051.png,ID_XK512QHIHT
0,0,M,SR2020,WD,0/l1124f02808c01s00269rp01533.png,ID_NCNHHI25J0
0,0,V,SR2021,G,0/l122f03093c39s13230rp42944.png,ID_WEHZ6F1XIB
0,0,V,LR2021,WD,0/l322f03052c01s09979rp18389.png,ID_TMU8CH3L06
0,0,V,LR2021,G,0/l1115f01463c01s09088rp19412.png,ID_TE63JNYQTE
0,0,S,SR2021,G,0/l429f04537c39s13964rp33996.png,ID_A5871DMYXB
0,0,V,SR2021,G,0/l1093f01908c39s11626ip.png,ID_H1ZTJBR65G
0,0,V,LR2021,G,0/l1095f01118c01s07926rp18659.png,ID_4KXNV5FGAA
0,0,V,SR2021,G,0/l1115f01143c39s11831rp36259.png,ID_KNHL53R34I
0,0,F,LR2020,WD,0/230_repeat_2_1447_3613_2357.png,ID_89A2XD50OH
0,0,M,SR2020,WD,0/l222f01676c01s03005rp10402.png,ID_63O9M34NVN
0,0,V,SR2020,G,0/l242f00539c01s03025ip.png,ID_AXLOWAFXC5
0,0,V,SR2021,G,0/l133f03151c39s14737rp42002.png,ID_L7D1T3YL04
0,0,F,LR2020,G,0/11_repeat_2_2416_3409_2202.png,ID_UVT401KIBH
0,0,V,SR2020,WD,0/l371f03452c01s03412rp04932.png,ID_18JWNVRN6T
0,0,F,SR2020,WD,0/l342f02109c01s03391rp09432.png,ID_3YEGYLRUH7
0,0,F,SR2021,G,0/l1123f03040c39s11949rp34285.png,ID_ECX4M3X0HJ
0,0,V,LR2021,WD,0/l992f04376c01s07409rp15668.png,ID_D9GWNIKU5Y
0,0,F,LR2021,WD,0/l331f04050c01s07608rp22446.png,ID_N6O41L6CTV
0,0,M,SR2021,WD,0/l1139f03157c39s11986rp39081.png,ID_54JT2SW6G9
0,0,M,LR2021,WD,0/l331f04056c01s07620rp23186.png,ID_UJJDHL0TOR
0,0,F,LR2021,WD,0/l1093f01642c01s06840rp26036.png,ID_S3OLMNLEOC
0,0,S,SR2021,G,0/l314f03504c39s12485ip.png,ID_5DKGZDSVLB
0,0,M,SR2020,WD,0/l342f03398c01s03298rp12310.png,ID_0KDC5B7ST6
0,0,V,SR2021,G,0/l1130f01872c39s12700ip.png,ID_POIM1AL69H
0,0,S,LR2021,WD,0/l398f02699c01s07897rp26854.png,ID_3C31CXWCZT
0,0,V,LR2021,WD,0/l131f03903c01s07447rp18465.png,ID_FTR2BF5G1E
0,0,S,SR2021,G,0/l325f00557c39s12175rp34064.png,ID_444M9JGO9P
0,0,F,SR2020,WD,0/l321f03728c01s05641rp03933.png,ID_X68HS2315F
0,0,V,SR2021,G,0/l1148f03026c39s13976rp35113.png,ID_QRYAQ2TI9T
0,0,M,LR2020,PS,0/149_repeat_2_1364_5065_3396.png,ID_XJZ8BUK6ZZ
0,0,M,SR2021,WD,0/l325f00557c39s12175rp43464.png,ID_2GBZUP1370
0,0,S,SR2021,WD,0/l398f02699c39s14197rp41490.png,ID_Q9H9M1MA6L
0,0,V,SR2020,G,0/l122f01100c01s02133rp02700.png,ID_4TIT82SSGM
0,0,V,LR2021,WD,0/l1144f04438c01s09218rp18273.png,ID_X83U6E9J4M
0,0,S,SR2021,WD,0/l341f02943c39s12264rp32811.png,ID_6S5FFJ2P6Z
0,0,F,SR2020,G,0/l341f03787c01s04890rp09113.png,ID_NUV9L4Q4GJ
0,0,V,LR2021,WD,0/l1083f00026c01s08099rp19370.png,ID_8TNDBVT8N0
0,0,F,LR2021,PS,0/l122f00621c01s07110rp23371.png,ID_BTQME7CO7O
0,0,V,SR2020,G,0/l141f03538c01s03489ip.png,ID_AQJDW98SPG
0,0,V,LR2021,WD,0/l410f01795c01s08363rp15737.png,ID_1YRSWEBVFD
0,0,M,LR2021,WD,0/l429f00196c01s08077rp29757.png,ID_KQ2QTPKTAS
0,0,V,LR2021,G,0/l1089f01665c01s08538rp17340.png,ID_BJTQXUFKBV
0,0,V,LR2021,G,0/l406f04321c01s07776rp18612.png,ID_6CU1OBUFCE
0,0,M,LR2021,G,0/l1149f01928c01s08174rp29364.png,ID_L92JQ1CS9F
0,0,V,LR2020,G,0/205_repeat_2_1056_4743_3109.png,ID_CYFDW7ZP3B
0,0,V,SR2020,WD,0/l134f00089c01s02645rp01509.png,ID_RM5D2UJMSA
1,40,V,SR2021,DR,1/l429f03239c39s14836rp46891.png,ID_MQJEM5KDY4
0,0,V,LR2021,G,0/l1153f02846c01s08533rp16747.png,ID_RAB3OLKG38
0,0,V,SR2021,WD,0/l1116f02944c39s12540rp34328.png,ID_Z6N9KOIU5U
0,0,V,SR2020,G,0/l134f00821c01s05238ip.png,ID_D862B3Q188
0,0,F,SR2020,G,0/l435f03236c01s04550rp10148.png,ID_D9LP9F62RP
0,0,F,SR2020,WD,0/l430f01265c01s01248rp12681.png,ID_JB7IDLSPC8
1,80,M,SR2021,DR,1/l371f04458c39s12526rp48267.png,ID_CWR868O80G
0,0,S,SR2020,WD,0/l371f00259c01s04951rp05131.png,ID_U9R4S3Y9X9
0,0,V,SR2021,PS,0/l332f03390c39s12316rp37312.png,ID_RVOX5WR8H2
0,0,V,LR2021,WD,0/l133f01782c01s09818rp19353.png,ID_IR475H1PFB
0,0,F,LR2021,G,0/l122f00611c01s06939rp24350.png,ID_JJBB7JLWFR
0,0,V,SR2020,WD,0/l365f03524c01s01271rp05785.png,ID_5D6URUC2RT
0,0,S,SR2021,G,0/l131f03893c39s12816ip.png,ID_WJGUIBEM78
0,0,F,SR2020,WD,0/l1094f01699c01s00505rp00767.png,ID_N0TDTSPOPF
0,0,V,SR2021,WD,0/l141f01953c39s12522rp41280.png,ID_9J7EDMAPDH
0,0,S,LR2021,WD,0/l1124f01752c01s07524rp17665.png,ID_Y47GL6HGZW
0,0,S,SR2020,G,0/l314f02165c01s03487ip.png,ID_2O3KFYAYHR
0,0,S,SR2021,G,0/l378f01303c39s12353ip.png,ID_DGYPYYNPCA
1,40,M,SR2020,DR,1/l435f02418c01s01344rp12837.png,ID_M6NJFRVW7U
0,0,V,LR2021,G,0/l1093f00983c01s08066rp24144.png,ID_4O5ZUZTMB9
0,0,V,SR2021,WD,0/l222f01218c39s14262rp39609.png,ID_A5TIEXGY5Y
0,0,M,SR2021,WD,0/l331f04171c39s12621rp45276.png,ID_SOYGVQ25TQ
0,0,V,LR2021,WD,0/l1094f04312c01s07061rp19256.png,ID_FOJQV5KNVS
0,0,V,SR2021,G,0/l222f03329c39s12801rp38959.png,ID_8FO656LYKL
0,0,V,SR2021,WD,0/l1084f03259c39s12149rp32718.png,ID_9RTTIDT8Q9
0,0,S,SR2021,WD,0/l406f04353c39s12396rp45398.png,ID_TEUM0KIJD0
0,0,V,LR2020,G,0/232_repeat_2_1265_1188_892.png,ID_O5WR012L8Q
0,0,V,LR2021,WD,0/l331f04667c01s08130rp16227.png,ID_YSQJVW7TJ4
0,0,V,LR2021,WD,0/l341f00167c01s06850rp15592.png,ID_H46MJMAIRI
0,0,V,SR2021,G,0/l1089f01440c39s11980ip.png,ID_A2SMUUDMVO
0,0,M,SR2020,G,0/l355f02285c01s05300rp11134.png,ID_5TB0SFX5C0
1,10,M,SR2021,DR,1/l376f03309c39s12200rp47663.png,ID_B4NWBXCCM0
1,40,V,SR2021,DR,1/l992f04379c39s11910rp36537.png,ID_32HDSGUJQK
0,0,V,LR2021,G,0/l355f02278c03s08909rp30557.png,ID_NYHMQP1RVT
1,50,M,SR2021,DR,1/l1093f00035c39s11540rp34791.png,ID_XB0O93XEXJ
0,0,F,SR2020,G,0/l436f02074c01s01353rp12052.png,ID_DO245C3QQ1
0,0,F,SR2020,G,0/l141f01449c01s00271rp10254.png,ID_M4I2BMGSH3
0,0,M,LR2021,WD,0/l1093f00633c01s07462rp27545.png,ID_AEH65CL8R3
0,0,F,LR2021,G,0/l1093f00303c01s07467rp25018.png,ID_2M3JJP0D1S
0,0,M,SR2021,WD,0/l1132f04291c39s12082rp39625.png,ID_V9ER776O6B
0,0,V,SR2020,G,0/l331f04180c01s04933rp03090.png,ID_5HD32WZ03Y
0,0,V,SR2020,WD,0/l122f01599c01s02648ip.png,ID_49RQ4851BT
0,0,F,SR2020,WD,0/l221f01779c01s03329rp10493.png,ID_D1J9DU3XPG
1,50,M,SR2021,DR,1/l1136f01393c39s11659rp42019.png,ID_U54PHYG9U8
0,0,V,LR2021,G,0/l406f04311c01s07769rp22085.png,ID_WJJ7WHWCGS
0,0,F,LR2021,G,0/l361f03180c01s08983rp31473.png,ID_MXC3PEHN7J
0,0,V,SR2021,WD,0/l1102f01623c39s11692ip.png,ID_KH5T6NSUMK
0,0,M,LR2021,WD,0/l1094f04329c01s07340rp31225.png,ID_0PCPKEN4T8
