ID,filename,extent,growth_stage_F,growth_stage_M,growth_stage_S,growth_stage_V,damage_DR,damage_DS,damage_G,damage_ND,damage_PS,damage_WD,damage_WN,season_LR2020,season_LR2021,season_SR2020,season_SR2021
ID_CDF05AT6KZ,L1130F01973C01S07579Rp28985.jpg,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
ID_69RJMNVN1A,L1133F00046C01S01527Rp03320.jpg,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
ID_CKPS7E7ZXE,L134F00750C39S14162Rp34555.jpg,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
ID_LKZ1YPV9ZI,227_repeat_2_1073_5162_3484.JPG,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ID_525RK14CT2,L133F01656C39S14732Rp48958.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
ID_X52YM591ON,L1093F03512C01S02909Rp08229.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_S96LEH668H,L331F03057C01S07087Rp22925.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ID_AJS5OGRJGD,L321F01946C01S05645Rp14682.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_EFU7Y2525P,L354F03986C01S01036Rp14993.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_0XB510RBC2,L1095F03386C01S00193Rp09316.jpg,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
ID_VNA2CLANBX,L1144F04460C01S11159Rp22153.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
ID_0ED4KIZLKS,L122F00077C39S13027Rp44692.jpg,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ID_0JD26ME5S5,L134F00823C39S14202Rp47695.jpg,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ID_O8QFKSQ95P,L141F01026C01S06994Rp16458.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
