ID,extent
ID_QQQANIS1XI,0.0
ID_YOCFQUZGA4,0.0
ID_WZMALXH37G,20.18619155883789
ID_U4F9BX3GNA,0.0
ID_LBJ6WQ438T,0.027940496802330017
ID_2SY0IQNB0H,0.10328103601932526
ID_CJYRDQCC2F,0.04060749709606171
ID_CWVXL2DX0I,23.31856918334961
ID_ZDTT4JYF7U,0.12197645008563995
ID_KA4A0DW9TS,0.3206125497817993
ID_7KOBIOB9E5,0.0
ID_O6FK003KLY,0.0
ID_7Y8E7W79BI,0.04682938754558563
ID_VC0GQ9CBJM,0.0
ID_COLSO7S32P,27.537160873413086
ID_AROVSKV7RT,0.0
ID_IJCQ7R3YI3,0.11096958816051483
ID_1PDK9RC274,0.0
ID_TJ5R54HW8U,1.5966869592666626
ID_2GYNMHCFRG,0.0
ID_LHBT3UIVV7,0.30091774463653564
ID_9R79125P6Z,0.0
ID_6D8QQ43U62,0.0
ID_SL2V6WT1P8,0.1433379203081131
ID_XS6V94X84P,0.0
ID_AMKYEGWIFZ,56.19868087768555
ID_4W8IUC7LDN,0.06606344878673553
ID_2AYD1WIOWJ,0.0
ID_3GKWVR8KQD,0.07218917459249496
ID_NMW6EUQRSM,0.0
ID_P2RSIMQARQ,0.04418514668941498
ID_ET2R86PDT1,0.15165568888187408
ID_PX4VJOAF73,0.0
ID_19WZMY3UEZ,0.1645980030298233
ID_RMIF9L593I,36.97049331665039
ID_A7DBLXJF9A,0.055157601833343506
ID_1WA0OP2AWI,0.43586987257003784
ID_1DWGZACDHR,0.0
ID_ACWP0K8HZ7,0.11034189164638519
ID_AO81NPYKD8,0.01408781111240387
ID_R9GFISPOR5,33.2993278503418
ID_PLQECFIY90,0.15200141072273254
ID_IE02UJVJ3F,0.18444065749645233
ID_SGT4E6VCSI,0.0
ID_CZ73NWB21H,21.613182067871094
ID_8ISHYGO4MQ,0.13301073014736176
ID_GFH6IAV8ID,0.0
ID_D29XJNLW5S,0.03702746331691742
ID_TI0L7XNOPE,0.031232759356498718
ID_3F762LL6QY,34.143402099609375
